《巧连神数》正文
1,第一课 混沌初开，乾坤及定，日月合璧，凤凰合鸣.
2,第二课 苍蝇之飞，不过数步，附于骥尾，则腾千路.
3,第三课 莫言多，莫行过，虽是千伶百俐，不如一推二摩.
4,第四课 绝妙绝妙，云无心，以出岫鸟倦飞，而归巢，花艳艳，鱼跃跃几般佳.
5,第五课 绿水因风皱面，青山为雪白头，诸般皆是天造就，世上谁能强求.
6,第六课 不教盘算，偏要盘算，直算的三尺肠闲着二尺半，儿童拍掌笑，父老白眼看.
7,第七课 马到临崖收疆晚，船放江深回后迟，鸟入笼中跃跃，鱼在纲里洋洋.
8,第八课 不是赏心胜景，何必踏雪寻梅，孜孜乘兴而来，怏怏俯首而回.
9,第九课 精细既含雪，此时湖涂少，便买卖已得自今后经化（犯）休夸.
10,第十课 莫乐莫乐，成而复破，总让你尽心竭力守缪不足理黄河.
11,第十一课 风兼影,莫乱扑，究竟费,工夫慎,终仍虑,后祸福,不单孤.
12,第十二课 打草惊蛇，敲山振虎，以待蛇鼠虎扑，唯恐无所措手足.
13,第十三课 物各有主，须且消停，雪里埋尸，久而自明.
14,第十四课 狐假虎威，狗仗人势，弄到其间，尽是无益.
15,第十五课 以蠡测海，坐井观天，虽有见识，亦是枉然.
16,第十六课 燕巢幕上，鱼游釜中，眼见得地，脑后生风.
17,第十七课 得陇望蜀，得鱼忘筌，天长地久，人憎狗嫌.
18,第十八课 鼯鼠黔驴，有技有能，考其实迹，能了技净.
19,第十九课 奇奇海市，妙妙蜃楼，一派佳景，却在浪头.
20,第二十课 乌云遮日，黑猪渡河，郊外蒙蒙，田鸡阁阁.
21,第二十一课 雪水烹茶，桂花煮酒，一般清味，恐难到口.
22,第二十二课 虚而实，实而虚，禾头产耳，窦里生鱼.
23,第二十三课 可叹可怜，物却有限，听之弗闻，视之弗见.
24,第二十四课 栉风沐雨，戴月披星，何时可歇，直到三更.
25,第二十五课 蛙鼓惊梦，虹弓东斜，蜻蜓飞舞，蝴蝶穿花.
26,第二十六课 红日遮天，绿波盖地，鱼舟稳坐，长线自持.
27,第二十七课 伐柯伐柯，顺少逆多，总有神助，亦末如何.
28,第二十八课 灯油耗尽，漏声滴澈，一听鸡鸣，逍遥自歇.
29,第二十九课 难矣哉.
30,第三十 课 山不在高，有仙则名，水不在深，有龙则灵.
31,第三十一课 万朵红云连旧府，一轮明月照前川.
32,第三十二课 白玉楼中吹玉笛，红梅阁上落梅花.
33,第三十三课 椿萱并茂，芝兰玉联.
34,第三十四课 霜来树净，月落楼空.
35,第三十五课 一木焉能支大厦？
36,第三十六课 玉燕投怀.
37,第三十七课 莫轻狂，细端详，好鸟枝头亦朋友，落花水面皆文章.
38,第三十八课 棘闱难做.
39,第三十九课 须谨言慎行，恐孤掌难鸣.
40,第四十 课 鲋鱼只得西江水，霹雳一声到九天.
41,第四十一课 两手劈开名利路，一肩挑尽洛阳春.
42,第四十二课 莫气赌，莫气赌，虽有长鞭不及马腹.
43,第四十三课 盲人骑瞎马，夜半临深池.
44,第四十四课 真好.
45,第四十五课 老天不害.
46,第四十六课 天覆地载，万物仰赖，鹤鸣九霄，声闻云外.
47,第四十七课 左右运转，前后拥从，夫人不言，言必有中.
48,第四十八课 水中之月，镜里之花，几般花景，落于谁家.
49,第四十九课 海不扬波，风不鸣条，雪飞六出，半空而飘.
50,第五十 课 秋风有意，残杨木冷，露无声，若桂花.
51,第五十一课 梅老偏能耐寒冷，菊残又有傲霜枝.
52,第五十二课 能.
53,第五十三课 一心白雪阳春趣，两袖清风明月秋.
54,第五十四课 难.
55,第五十五课 两个黄鹂鸣翠柳，一行白鹭上青天.
56,第五十六课 春雨发生千野绿，秋风乱去一天香.
57,第五十七课 昨天花残犹末落，今朝露湿又重花开.
58,第五十八课 好.
59,第五十九课 一朵乌云惊鸟雀，半天残月映残花.
60,第六十 课 九天日月开昌运，万里风云起壮图.
61,第六十一课 方离发福生才地，又入堆金积玉门.
62,第六十二课 须放开肚皮吃饭，切站定脚根为人.
63,第六十三课 进一步门庭，添十分春色.
64,第六十四课 春风拂弱柳，细雨润新苗.
65,第六十五课 莫作愧心事，那怕鬼叫门.
66,第六十六课 可也.
67,第六十七课 不能.
68,第六十八课 割鸡之事，焉用牛刀.
69,第六十九课 雏鹊有巢，雏鸠居之.
70,第七十 课 琼浆润口，甘露滋心.
71,第七十一课 星移斗转，除旧换新.
72,第七十二课 不入虎穴，焉得虎子.
73,第七十三课 乌蚌相持，鱼翁得利.
74,第七十四课 凤毛济美，麟趾呈祥.
75,第七十五课 芒阑竟秀，玉树生香.
76,第七十六课 不危不陷，去而复反.
77,第七十七课 太阿倒持，与谁有益.
78,第七十八课 春暖鱼化，秋高鹿鸣
79,第七十九课 傍虎吃食，有损无益.
80,第八十 课 树欲静，而风不息.
81,第八十一课 蜻蜓飞舞，在池塘.
82,第八十二课 砍倒大树，有柴烧.
83,第八十三课 一轮明月照人象.
84,第八十四课 正遇双星渡雀桥.
85,第八十五课 有想.
86,第八十六课 一条明路直达青天，半途而废可叹可叹.
87,第八十七课 执柯伐柯，逆少顺多，不费手脚，更无风波.
88,第八十八课 闲时赏月，忙里跑风，弄到其毕，内净外空.
89,第八十九课 仰赖天地，何必曰利，只须勤俭，胜是贸易.
90,第九十 课 浮生若梦不用妄贪，知足常乐能忍自安
91,第九十一课 江水洗心，江月照肝，争战南北，不难不难.
92,第九十二课 好好好一了百了，不啻雷惊，何殊风扫.
93,第九十三课 离而复合，成而必破，亦再费舌，亦未如何.
94,第九十四课 前门进虎，后门进狼，慎之慎之，切勿要强.
95,第九十五课 不做风波于世上，只无冰炭在胸中.
96,第九十六课 莫惆怅，莫惆怅，命里八尺，难求一丈.
97,第九十七课 间里只夸金屋好，梦中不语山秃倒.
98,第九十八课 猛虎斗，飞龙争，水落石出，草木皆醒.
99,第九十九课 落花流水沓然去，大块文章尽属虑.
100,第壹百课 一樽美醴倾荒野，两袖春风扫故尘.
101,第一百零一课 知足方能图快乐，吃亏纔（才）是发财源.
102,第一百零二课 苦雨催残李桃色，凄风吹折杨柳枝.
103,第一百零三课 发财臻极宜先退，得意至浓便好之.
104,第一百零四课 灯火报捷喜雀叫，燕子双双反故巢.
105,第一百零五课 风中大虫草上霜，虽跃跃不久长.
106,第一百零六课 桃红复含宿雨，柳绿更代朝烟.
107,第一百零七课 鼎折足，车脱辐，日过午，风吹烛.
108,第一百零八课 小心哉，莫务外，一步错百步歪.
109,第一百零九课 桃李争春色，春去桃李撇.
110,第一百一十课 为山九仞，功亏一篑.
111,第一百一十一课 先如山倒，后如抽丝.
112,第一百一十二课 失之东偶，收之桑榆.
113,第一百一十三课 刻鹄类鹜（鸭子），画虎成犬.
114,第一百一十四课 红梅结子，绿竹生孙.
115,第一百一十五课 前车之辅，后车之鉴.
116,第一百一十六课 驴罪于天，无所祷也.
117,第一百一十七课 半途而废令人落泪.
118,第一百一十八课 朝琢久磨，其命如何.
119,第一百一十九课 命该如此，不可妄想.
120,第一百二十 课 精卫衔石，枉劳心计.
121,第一百二十一课 与心难忍，与心难安.
122,第一百二十二课 事不干己，何必着急.
123,第一百二十三课 求才得之舍则失之.
124,第一百二十四课 营中窥勺，井地观天.
125,第一百二十五课 既知如此，何必如此.
126,第一百二十六课 知道莫影却来问谁 .
